Title,Author,AP Exam Year/s
"Absalom, Absalom",William Faulkner,"2000, 2007, 2010, 2012"
Adam Bede,George Eliot,2006
The Adventures of Augie March,Saul Bellow,2013
The Adventures of Huckleberry Finn,Mark Twain,"1999, 2005, 2005, 2006, 2006, 2007, 2008, 2008, 2011, 2013"
The Aeneid,Virgil,"2006, 2018"
Agnes of God,John Pielmeier,2000
The Age of Innocence,Edith Wharton,"2002, 2003, 2005, 2008, 2012, 2014"
The Alchemist,Paulo Coelho,2019
Alias Grace,Margaret Atwood,"2000, 2004, 2008, 2018"
All Over Creation,Ruth Ozeki,2021
All the King's Men,Robert Penn Warren,"2000, 2002, 2004, 2004, 2007, 2008, 2009, 2011"
All the Light We Cannot See,Anthony Doerr,"2018, 2021"
All the Pretty Horses,Cormac McCarthy,"2006, 2006, 2007, 2008, 2010, 2011, 2013"
An American Tragedy,Theodore Dreiser,2003
American Pastoral,Philip Roth,2009
The American,Henry James,"2005, 2007, 2010"
Angels in America,Tony Kushner,2009
Angle of Repose,Wallace Stegner,2010
Anna Karenina,Leo Tolstoy,"1999, 2002, 2003, 2004, 2006, 2008, 2009, 2016"
Another Country,James Baldwin,"2010, 2012"
Antigone,Sophocles,"1999, 2003, 2005, 2009, 2011, 2014, 2019"
As I Lay Dying,William Faulkner,"2001, 2004, 2006, 2006, 2007, 2009, 2011"
As You Like It,William Shakespeare,"2005, 2006, 2010, 2016"
Atonement,Ian McEwan,"2007, 2011, 2013, 2016"
Autobiography of an Ex-Colored Man,James Weldon Johnson,"2002, 2005"
The Awakening,Kate Chopin,"1999, 2002, 2004, 2007, 2007, 2009, 2009, 2011, 2014, 2019, 2021"
The Bear,William Faulkner,2006
Beloved,Toni Morrison,"1999, 2001, 2002, 2003, 2005, 2007, 2009, 2010, 2011, 2011, 2014, 2015, 2016, 2017, 2018, 2021"
A Bend in the River,V. S. Naipaul,"2003, 2015"
Beowulf,Unknown_Beowulf,2018
Billy Budd,Herman Melville,"1999, 2002, 2004, 2005, 2007, 2008, 2015"
Black Boy,Richard Wright,"2006, 2008, 2013, 2015"
Bleak House,Charles Dickens,"2000, 2004, 2009, 2010"
Bless Me Ultima,Rudolfo Anaya,"2004, 2005, 2006, 2008"
The Blind Assassin,Margaret Atwood,"2007, 2011, 2016"
