Title,Author/s,Listed by Teachers,Listed in AP exams
Zeitoun,Dave Eggers,x,
Woman at Point Zero,Nawal El Saadawi,x,
With the Fire on High ,Elizabeth Acevedo,x,
Wise Blood,Flannery O'Connor,,x
Wild,Cheryl Strayed,x,
Who Has Seen the Wind?,W. O. Mitchell,,x
When They Call you a Terrorist,"Patrisse Cullors, asha bandele",x,
When the Emperor Was Divine,Julie Otsuka,,x
When I was Puerto Rican,Esmeralda Santiago,x,
We Were the Mulvaneys,Joyce Carol Oates,,x
We The Animals,Justin Torres,x,
Unwind,Neal Shusterman,x,
Typical American,Gish Jen,,x
Tracks,Louise Erdrich,,x
To the Lighthouse,Virginia Woolf,,x
Thirteen Reasons Why,Jay Asher,x,
There There,Tommy Orange,x,
The Tattooed Soldier,Héctor Tobar,x,
The Story of Edgar Sawtelle,David Wroblewski,,x
The Sound of Things Falling,Juan Gabriel Vásquez,x,
The Sound and the Fury,William Faulkner,,x
The Sky is Not the Limit,Neil deGrasse Tyson,x,
The Skin I'm In,Sharon G. Flake,x,
The Secret Life of Bees,Sue Monk Kidd,x,x
The Round House,Louise Erdrich,,x
The Red Badge of Courage,Stephen Crane,,x
The Power of One,Bryce Courtenay,,x
The Power Broker,Robert Caro,x,
The Plague,Albert Camus,,x
Perks of Being a Wallflower,Stephen Chbosky,x,
The Pearl,John Steinbeck,x,
The Other Wes Moore,Wes Moore,x,
The Other,David Guterson,,x
The Namesake,Jhumpa Lahiri,,x
The Moor's Last Sigh,Salman Rushdie,,x
The Memory Keeper's Daughter,Kim Edwards,,x
The Member of the Wedding,Carson McCullers,,x
The Latehomecomer,Kao Kalia Yang,x,
The Knock at the Door,Margaret Ajemian Ahnert,x,
The Kite Runner,Khaled Hosseini,x,x
The Joy Luck Club,Amy Tan,x,x
The Immortal Life of Henrietta Lacks,Rebecca Skloot,x,
The House of the Spirits,Isabel Allende,x,
The Hen Who Dreamed She Could Fly,Sun-Mi Hwang,x,
The Diary of a Young Girl,Anne Frank,x,
The Crossing,Cormac McCarthy,,x
The Color of Water,James McBride,x,
The Circuit,Francisco Jiménez,x,
Cider House Rules,John Irving,,x
The Burgess Boys,Elizabeth Strout,,x
The Book of Unknown Americans,Cristina Henríquez,x,
The Bonesetter's Daughter,Amy Tan,,x
The Autobiography of Malcolm X,Alex Haley,x,
The Adventures of Augie March,Saul Bellow,,x
The Accidental Billionaires,Ben Mezrich,x,
Symptoms of Being Human,Jeff Garvin,x,
Surfacing,Margaret Atwood,,x
Speak,Laurie Halse Anderson,x,
Sophie's Choice,William Styron,,x
Something About America,Maria Testa,x,
Sold,Patricia McCormick,x,
Snow Flower and the Secret Fan,Lisa See,,x
Snow Falling on Cedars,David Guterson,,x
Sister of My Heart,Chitra Banerjee Divakaruni,,x
"Sing, Unburied, Sing",Jesmyn Ward,x,x
Set This House on Fire,William Styron,,x
Sent for You Yesterday,John E. Wideman,,x
Scratch Beginnings,Adam Shepard,x,
Saturday,Ian McEwan,,x
Reservation Blues,Sherman Alexie,,x
Redefining Realness,Janet Mock,x,
The Rain God,Arturo Islas,x,
Push,Sapphire,x,x
Purple Hibiscus,Chimamanda Ngozi Adichie,x,x
Purple Heart,Patricia McCormick,x,
Pocho,Jose Antonio Villarreal,,x
Passing,Nella Larsen,x,x
Paper Towns,John Green,x,
Panther Baby,Jamal Joseph,x,
Out of Africa,Isaak Dinesen,,x
Oryx and Crake,Margaret Atwood,,x
Oranges Are Not the Only Fruit,Jeanette Winterson,x,
One Hundred Years of Solitude,Gabriel García Márquez,,x
One Flew Over the Cuckoo's Nest,Ken Kesey,,x
One Day in the Life of Ivan Denisovich,Alexander Solzhenitsyn,,x
Old School,Tobias Wolff,,x
Of Mice and Men,John Steinbeck,x,x
Of Beetles and Angels,Selamawi Asgedom,x,
Obasan,Joy Kogawa,,x
The Alchemist,Paulo Coelho,x,x
Noah's Compass,Anne Tyler,,x
No Disrespect,Sister Souljah,x,
No Ashes in the Fire,Darnell L. Moore,x,
Native Speaker,Chang-Rae Lee,,x
My Ántonia,Willa Cather,,x
My Name is Asher Lev,Chaim Potok,,x
Monkey Bridge,Lan Cao,,x
Middlesex,Jeffrey Eugenides,,x
Mama Day,Gloria Naylor,,x
Love Medicine,Louise Erdrich,x,
"Look Homeward, Angel",Thomas Wolfe,,x
Linden Hills,Gloria Naylor,,x
Light in August,William Faulkner,,x
Life of Pi,Yann Martel,x,
Left to Tell,Immaculee Ilibagiza,x,
