,title,coref_IDs,common_aliases,gender,race / ethnicity,num_mentions,dialogue,burstiness
771,zeitoun - eggers,283,"['Kathy', 'Katrina']",F,White,2265,234,0.6330795091270283
772,zeitoun - eggers,281,"['Abdulrahman Zeitoun', 'Zeitoun', 'Abdulrahman']",M,MENA,1110,127,0.274781944
773,zeitoun - eggers,290,['Mohammed'],M,MENA,648,30,0.827347989
774,zeitoun - eggers,282,['Ahmad'],M,MENA,364,51,0.6566685797282764
127,yellow raft in blue water - dorris,0_214_221,"['my mom', 'My mom', 'Mom', 'Christine']",F,Native/Indigenous,5891,527,0.6893701155499353
132,yellow raft in blue water - dorris,217_0,['Rayona'],F,"Native/Indigenous, Black",3346,251,0.8461621996518456
128,yellow raft in blue water - dorris,224_0,"['Aunt Ida', 'Ida']",F,Native/Indigenous,2727,276,0.6821348545366721
129,yellow raft in blue water - dorris,230,['Dayton'],M,"Native/Indigenous, White",928,138,0.7905939407631846
130,yellow raft in blue water - dorris,225,['Lee'],M,Native/Indigenous,822,29,0.7713079877582356
131,yellow raft in blue water - dorris,278,['Clara'],F,Native/Indigenous,702,89,0.8478217110686291
322,wuthering heights - bronte,0,['Nelly'],F,White (unmarked),4430,801,0.33677265771281306
323,wuthering heights - bronte,50,"['Cathy', 'Catherine', 'Miss Cathy', 'Miss Catherine', 'Catherine Earnshaw']",F,White,2171,309,0.49990624440644293
324,wuthering heights - bronte,35,"['Master Heathcliff', 'Mr. Heathcliff', 'Heathcliff']",M,"White, Black",2012,211,0.4738452321022324
325,wuthering heights - bronte,55,"['Mr. Linton', 'Master Linton', 'Linton', 'Edgar Linton']",M,White,911,88,0.5921729319195751
326,wuthering heights - bronte,39,"['Earnshaw', 'Hareton', 'Hareton Earnshaw']",M,White,602,47,0.6332410191319083
1214,written in the sky - kaopio,0_116_71,"['The boy', 'the boy', 'Ikau']",M,Pacific Islander,2461,304,0.3149333561154051
1459,world war z - brooks,0,"['Max Brooks', 'Max']",M,White,3907,138,0.3890960970661442
896,women of brewster place - naylor,64,"['Mattie', 'Mattie Michael']",F,Black,1630,226,0.8027516331009232
897,women of brewster place - naylor,119,['Lorraine'],F,Black,734,69,0.6353284845993061
898,women of brewster place - naylor,99,['Kiswana'],F,Black,536,130,0.7592101128403155
